nid,uid,status,title,body,teaser,mp3_filename,mp3_filemime,mp3_filesize,mp3_status,mp3_timestamp,mp3_list,artiste,compositeur,taxonomy['tags']['3'],taxonomy['tags']['4']
1031,4,1,Une petite audition,"<p>Françoise Rosay, extrait de l'émission <em>Un dimanche dans un fauteuil</em>, ORTF, années 60</p>","<p>Françoise Rosay, extrait de l'émission <em>Un dimanche dans un fauteuil</em>, ORTF, années 60</p>",Une_petite_audition_0.mp3,audio/mpeg,999619,1,1271082596,1,Françoise Rosay,NULL,audiovisuel_émission,
1032,4,1,Une voix de vieillard,"<p>Edouard Baer, extrait d'un enregistrement personnel d'Aurélie Djian, années 2000</p>","<p>Edouard Baer, extrait d'un enregistrement personnel d'Aurélie Djian, années 2000</p>",Une_voix_de_veillard.mp3,audio/mpeg,600332,1,1271082598,1,Edouard Baer,NULL,interview,français
1033,4,1,Voix abîmée,"<p>Jeanne Robet, enregistrement personnel, années 2000</p>","<p>Jeanne Robet, enregistrement personnel, années 2000</p>",Voix_abimee_0.mp3,audio/mpeg,393479,1,1271082599,1,Jeanne Robet,Jeanne Robet,quotidien,français
1034,4,1,Vos chemins de traverse,"<p>Macha Béranger, extrait du générique de l'émission <em>Allô Macha</em>,&nbsp;France Inter, 1977-2006</p>","<p>Macha Béranger, extrait du générique de l'émission <em>Allô Macha</em>,&nbsp;France Inter, 1977-2006</p>",allo_macha.mp3,audio/mpeg,442523,1,1271082600,1,Macha Béranger,Grégory Castéra,Radio,français
1035,4,1,Carte Noire,"<p>Pierre-Alain de Garrigues, spot publicitaire radio, années 2000</p>","<p>Pierre-Alain de Garrigues, spot publicitaire radio, années 2000</p>",carte_noire.mp3,audio/mpeg,488085,1,1271082601,1,Pierre-Alain de Garrigues,Grégory Castéra,Publicité,français
1036,4,1,Opération larynx,"<p>Extrait d'un entretien avec un homme ayant subi une ablation du larynx, source inconnue, années 60</p>","<p>Extrait d'un entretien avec un homme ayant subi une ablation du larynx, source inconnue, années 60</p>",operation_larynx.mp3,audio/mpeg,339731,1,1271082602,1,NULL,NULL,interview,français
1037,4,1,L'état le plus gluant,"<p>Paul Claudel, extrait d'un entretien avec Jacques Madaule et Pierre Schaeffer, 1944</p>","<p>Paul Claudel, extrait d'un entretien avec Jacques Madaule et Pierre Schaeffer, 1944</p>",Letat_le_plus_gluant.mp3,audio/mpeg,1229575,1,1271084157,1,Paul Claudel,Joris Lacoste,interview,français
1059,4,1,La ronde des mots,"<p>Bernard Pivot, extrait de <em>La Dictée d'Amiens</em>, 2005</p>","<p>Bernard Pivot, extrait de <em>La Dictée d'Amiens</em>, 2005</p>",la_ronde_des-mots.mp3,audio/mpeg,4867191,1,1297080745,1,Bernard Pivot,NULL,instruction,français
1099,4,1,Tous ces vieux pointeurs,"<p>Rohff, extrait de la vidéo <em>Rohff répond à ses détracteurs</em> postée sur YouTube, 2007</p>","<p>Rohff, extrait de la vidéo <em>Rohff répond à ses détracteurs</em> postée sur YouTube, 2007</p>",Tous_ces_vieux_pointeurs.mp3,audio/mpeg,867077,1,1280995049,1,Rohff,Constantin Alexandrakis,Message,français
1100,4,1,Vous allez manger avec des baguettes,"<p>Daniel Cohn-Bendit, extrait d'une intervention au Parlement européen, 2008</p>","<p>Daniel Cohn-Bendit, extrait d'une intervention au Parlement européen, 2008</p>",Vous_allez_manger_avec_des_baguettes.mp3,audio/mpeg,355495,1,1280995052,1,Cohn-Bendit,Constantin Alexandrakis,Discours,français
1105,4,1,Des silences médiatiques,"<p>Extrait de l'émission <em>Les Pieds sur Terre</em>, France Culture, 2010</p>","<p>Extrait de l'émission <em>Les Pieds sur Terre</em>, France Culture, 2010</p>",esp-silences_mediatiques.mp3,audio/mpeg,456526,1,1283018597,1,NULL,NULL,Radio,
1111,4,1,Amie was brave,"<p>Témoignage, extrait du film <em>Grizzly Man</em> de Werner Herzog, 2005</p>","<p>Témoignage, extrait du film <em>Grizzly Man</em> de Werner Herzog, 2005</p>",Amie_was_brave.mp3,audio/mpeg,297012,1,1291405062,1,Kathleen Parker (?),Fredéric Danos,Film,anglais
