1051,6,1,"Piss Factory","<p>Patti Smith, extrait d'une lecture au Centre Pompidou, Paris, 2000</p>","<p>Patti Smith, extrait d'une lecture au Centre Pompidou, Paris, 2000</p>",38_piss_factory.mp3,audio/mpeg,3908880,1,1331743331,1,"Patti Smith","Joris Lacoste",poésie,anglais,97.6196,1:38,54,39,Cadences
260,3,1,"Justice for the miners","<p>Discours d'un mineur gréviste, extrait du disque&nbsp;<em>Shoulder to Shoulder</em>, 1985</p>","<p>Discours d'un mineur gréviste, extrait du disque&nbsp;<em>Shoulder to Shoulder</em>, 1985</p>",Mineur_en_greve.mp3,,0,1,1259260614,1,Mineur,NULL,Discours,anglais,121.2343,2:01,54,40,Cadences
1189,4,1,"We are now the generation of the heart of the fight back","<p>Barnaby Raine, extrait d'une intervention à la conférence <em>Coalition resistance</em>, 2010</p>","<p>Barnaby Raine, extrait d'une intervention à la conférence <em>Coalition resistance</em>, 2010</p>",we_are_now_the_generation_at_the_heart_of_the_fight_back.mp3,audio/mpeg,2914312,1,1297081229,1,"Barnaby Raine",NULL,Discours,anglais,72.803275,1:13,54,41,Cadences
1979,4,1,"I want you to walk circumspectly","<p>Pastor Tommy Bates, extrait de la vidéo <em>Preaching the Gospel</em>, années 2000</p>","<p>Pastor Tommy Bates, extrait de la vidéo <em>Preaching the Gospel</em>, années 2000</p>",walk_circumspectly.mp3,audio/mpeg,3013750,1,1381827801,1,NULL,NULL,,,125.57054166667,2:06,54,42,Cadences
243,3,1,"Discours de Hynkel","<p>Charlie Chaplin, extrait du film <em>Le Dictateur</em>, 1940</p>","<p>Charlie Chaplin, extrait du film <em>Le Dictateur</em>, 1940</p>",Discours_de_Hynkel.mp3,,0,1,1259260604,1,"Charlie Chaplin",NULL,Film,inconnue,43.023675,0:43,54,43,Cadences
1201,4,1,Tahzzabt,"<p>Récitation du Coran par un chœur berbère du Haut-Atlas, extrait du disque <em>Les Voix du monde : anthologie des expressions orales</em>, 1996</p>","<p>Récitation du Coran par un chœur berbère du Haut-Atlas, extrait du disque <em>Les Voix du monde : anthologie des expressions orales</em>, 1996</p>",coran.mp3,audio/mpeg,2418992,1,1297063876,1,NULL,NULL,Rituel,arabe,60.421225,1:00,54,44,Cadences
1198,4,1,"I'm that nigger","<p>Saul Williams, extrait du film <em>Slam</em> de Marc Levin, 1998</p>","<p>Saul Williams, extrait du film <em>Slam</em> de Marc Levin, 1998</p>",i_m_that_nigger.mp3,audio/mpeg,3714663,1,1297080593,1,"Saul Williams",NULL,Film,anglais,92.813075,1:33,54,45,Cadences
785,3,1,"We want change","<p>Barack Obama, extrait d'un discours au New Hampshire, 2008</p>","<p>Barack Obama, extrait d'un discours au New Hampshire, 2008</p>",The_New_Majority.mp3,,0,1,1259263301,1,"Barack Obama",NULL,discoours,anglais,89.913475,1:30,54,46,Cadences
263,3,1,"Ni putes ni soumises","<p>Manifestation, enregistrement personel de Frédéric Danos, 2003</p>","<p>Manifestation, enregistrement personel de Frédéric Danos, 2003</p>",Ni_putes.mp3,,0,1,1259260616,1,Manifestantes,"Frédéric Danos",slogan,français,20.8196,0:21,54,47,Cadences
1726,4,1,"Ne surtout pas s'endormir","<p>Olivier Cadiot, extrait d'une lecture de <em>Retour définitif et durable de l'être aimé</em>, Théâtre national de la Colline, 2002</p>","<p>Olivier Cadiot, extrait d'une lecture de <em>Retour définitif et durable de l'être aimé</em>, Théâtre national de la Colline, 2002</p>",Ne_surtout_pas_sendormir.mp3,,0,1,1259262602,1,"Olivier Cadiot",NULL,lecture,français,11.833475,0:12,54,48,Cadences
